Year,Company name, Number of single use plastic bags issued , Gross proceeds of charge (£) ,VAT (£),Costs deducted (£), Cost of changing till systems (£),Cost of staff communications (£),Cost of customer communications (£),Cost of obtaining advice on charge (£),Cost of administering donations (£),Other costs associated with implementing charge (£), Description of other costs, Net proceeds  (£) (Gross less VAT and costs) ,Use of net proceeds,Other use of net proceeds,Amount donated to good causes (£),Good causes in receipt of proceed donation,Number of paper bags issued,Number of bags for life,Any other information
2016-17,2 sisters (Red Meat) Ltd,20638,1031.9,171.98,No costs deducted from proceeds,0,0,0,0,0,0, ,859.92,Donated, ,859,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Age UK Trading CIC,818423,40921.15,6792.91,No costs deducted from proceeds,0,0,0,0,0,0, ,34128.24,Donated, ,34128,Charity/Voluntary,,, 
2016-17,Aldi Stores Ltd ,67203919,3360195.95,560032.66,No costs deducted from proceeds,0,0,0,0,0,0, ,2800163.29,Donated, ,2800163,"Education,Environment,Health,Charity/Voluntary,Local causes chosen by customers or staff",,3750662, All purchases of bags are verified via our sales of products reporting process.
2016-17,"Animal, a division of H Young (Operations) Limited",30546,1527.3,254.55,No costs deducted from proceeds,0,0,0,0,0,0,,1272.75,Donated,,1272.75,  ,,,
2016-17,Archant Community Media Limited,165301,8265.05,1377.5,No costs deducted from proceeds,0,0,0,0,0,0, ,6887.55,Donated, ,8265,Environment,,,
2016-17,Argos,8382380,419119,69853,No costs deducted from proceeds,0,0,0,0,0,0, ,349266,Donated, ,0,  ,,, 
2016-17,Asda Stores Limited ,165766608,8288330,1381388,No costs deducted from proceeds,0,0,0,0,0,0, ,6906942,Donated, ,6906942,"£3,035,786 - University College London National Dementia Research centre ; £3,871,156  - Asda Foundation ",,, 
2016-17,Aston Villa Football Club,20139,1006.95,167.81,No costs deducted from proceeds,0,0,0,0,0,0, ,839.14,Donated, ,839,Charity/Voluntary,,," Combat Stress -    £419.50
Fisher House UK - £419.50"
2016-17,B&Q ,1266294,63314.7,10552.45,No costs deducted from proceeds,0,0,0,0,0,1,,52761.25,Donated, ,104078,Charity/Voluntary,,815267, 
2016-17,Bags Etc Ltd,36637,1831.85,305.31,No costs deducted from proceeds,0,0,0,0,0,0, ,1526.54,Retained by your company / organisation, ,0,  ,,,Proceeds held until total = +/- £5000 at which point they will be donated to charities selected by our employees
