"Country","Schooling","HIV.AIDS","Status","wateraccess","tuberculosis","inflation","healthexppercapita","fertilityrate","lifeexp","CO2","urbanpopgrowth","leastdeveloped"
"Afghanistan",10,0.1,"Leastdeveloped","55.2",189,4.67399603536339,134.214524632,4.981,62.895,0.226918957436766,3.9485131923036,1
"Albania",14.2,0.1,"Developing","95.09999999999999",16,1.61304235314414,517.07141349,1.71,77.963,1.58204917966782,1.65245757997046,0
"Algeria",14.4,0.1,"Developing","84",72,2.91692692067457,624.662825536,2.89,75.641,3.32649705887801,2.82631718687165,0
"Angola",11.4,2,"Leastdeveloped","48.6",370,7.28038730361125,170.806231986,5.841,60.858,1.20634725705777,4.90213517371515,1
"Antigua and Barbuda",13.9,0.2,"Developing","97.90000000000001",3.5,1.08944157435363,1022.403524398,2.076,76.05,5.255789621893,-0.562764387839763,0
"Armenia",12.7,0.1,"Developing","100",57,2.98130868933673,426.113567133,1.634,74.255,1.70429515073598,-0.465285406150674,0
"Australia",20.4,0.1,"Developed","100",6.5,2.48792270531403,3551.347398675,1.826,82.3,17.288465408966,1.67278260437022,0
"Austria",15.9,0.1,"Developed","100",7.5,1.60580414549751,4249.543263463,1.46,81.490243902439,7.94126928293754,0.179030649947909,0
"Azerbaijan",12.2,0.1,"Developing","86.2",76,1.38972635776453,718.455376346,1.97,71.8,3.84564059597644,1.79836047430765,0
"Bahrain",14.5,0.1,"Developing","100",16,2.64629146477823,1529.895346956,2.078,76.622,23.1452676272684,4.82310238277754,0
"Bangladesh",10,0.1,"Leastdeveloped","86.2",221,6.99163889220854,62.371029083,2.165,71.803,0.370727171928455,3.70629680732807,1
"Barbados",15.3,0.1,"Developing","99.7",2,1.76950322089726,1134.792723696,1.794,75.603,5.20912323225229,-0.161120803913709,0
"Belarus",15.7,0.1,"Developing","99.7",51,18.1195543526734,837.102840293,1.696,72.9707317073171,6.55018956596646,0.380912829819398,0
"Belgium",16.3,0.1,"Developed","100",9.1,0.340002833356965,3832.153445336,1.74,81.2878048780488,9.40591866352885,0.778351877105805,0
"Benin",10.7,1.1,"Leastdeveloped","77.8",61,-1.00604387256135,72.110437965,5.117,60.373,0.520179036428996,4.03650177183737,1
"Bhutan",12.5,0.5,"Leastdeveloped","100",172,8.27106093949345,202.351983366,2.128,69.43,0.814287890011511,4.32566925910876,1
"Bosnia and Herzegovina",14.2,0.1,"Developing","99.90000000000001",42,-0.897194054194299,844.989504219,1.332,76.561,5.50995142207078,0.119606180286622,0
"Botswana",12.6,2.3,"Developing","96.2",385,4.40225309243433,765.873038344,2.812,64.78,2.29159955211036,3.49167762791828,0
"Brazil",15.2,0.1,"Developing","98.09999999999999",43,6.32915222712776,1287.601794494,1.753,75.042,2.12622362018673,1.35593133144212,0
"Bulgaria",14.8,0.1,"Developed","99.40000000000001",32,-1.41818380264842,1025.248026774,1.53,74.4658536585366,6.22523809880582,-0.18487745484168,0
"Burkina Faso",7.7,0.6,"Leastdeveloped","82.09999999999999",54,-0.258089517535353,75.95672666,5.521,59.457,0.131899512887913,5.60309721415194,1
"Burundi",10.6,0.7,"Leastdeveloped","75.8",126,4.4053523418529,67.058917369,5.869,56.688,0.0270330343425194,5.73577158642098,1
"Cambodia",10.9,0.2,"Leastdeveloped","73.40000000000001",390,3.85523855347909,169.418063023,2.634,68.251,0.318476615200681,2.90664092300958,1
"Cameroon",10.4,3.7,"Developing","75.40000000000001",220,1.85489850366776,123.842824679,4.848,57.111,0.292333454502642,3.89674072366331,0
"Canada",15.9,0.1,"Developing","99.8",5.1,1.90663590717873,4001.35486605,1.5818,81.8,15.9723111286,1.19496192113715,0
"Central African Republic",7.1,4.5,"Leastdeveloped","68.40000000000001",375,25.2828106504709,34.289633293,5.006,50.621,0.0610600006548706,1.58695053307967,1
"Chad",7.3,2.9,"Leastdeveloped","50.8",159,1.68083587513794,79.213277031,6.155,52.204,0.0452806220191615,3.62028707590128,1
"Chile",16.2,0.1,"Developing","99",16,4.71867527854671,1274.117187937,1.798,79.117,4.34284007332162,1.04376696464953,0
"China",13.1,0.1,"Developing","94.8",68,1.92164341593894,387.435041984,1.61,75.932,6.28783246755467,3.27969788820891,0
"Colombia",13.6,0.1,"Developing","91.3",30,2.89781874427855,633.8263931,1.897,74.022,1.60331061408699,1.61058228350822,0
"Costa Rica",13.9,0.1,"Developing","97.7",12,4.51934649751248,962.223634418,1.819,79.44,1.6981429333079,2.92773966270699,0
"Croatia",15.1,0.1,"Developed","99.59999999999999",13,-0.215196159576215,1484.926874934,1.46,77.4780487804878,4.78104571580872,0.167719797299429,0
"Cyprus",14,0.1,"Developed","100",3.9,-1.35498885446315,1977.877445223,1.36,80.173,6.78582534595122,1.11048130232087,0
"Denmark",19.2,0.1,"Developed","100",5.9,0.564020540449518,4165.206193065,1.69,80.7,7.96239311387233,0.645854311835933,0
"Djibouti",6.3,2.1,"Leastdeveloped","90",304,1.34186494340156,114.04466517,2.982,62.006,0.598518190542428,1.76217399947235,1
"Dominican Republic",13.2,0.3,"Developing","85",53,2.99864226125217,557.245063101,2.481,73.483,2.11516472628601,2.9653260588554,0
"Ecuador",14,0.1,"Developing","86.90000000000001",41,3.58922016616669,673.031197328,2.542,75.879,2.41518255067413,1.91115087187309,0
"El Salvador",13.2,0.2,"Developing","93.09999999999999",44,1.1413446753823,489.190440086,2.126,73.015,1.06584941324733,1.65322848027419,0
"Equatorial Guinea",9.2,4.4,"Developing","47.8",162,4.30999866149112,510.159261279,4.864,57.18,5.37826198547366,6.67282293704505,0
"Estonia",16.5,0.1,"Developing","99.59999999999999",21,-0.106175146521716,1323.162636326,1.54,77.0341463414634,13.3210975503997,-0.445155661368741,0
"Ethiopia",8.4,0.6,"Leastdeveloped","55.4",207,7.40219346834225,45.879335075,4.437,64.535,0.0852189046174586,4.69253073313422,1
"Fiji",15.2,0.1,"Developing","95.7",53,0.528118153039528,264.414623662,2.565,69.96,1.27028449455991,1.70632490181952,0
"Finland",17,0.1,"Developing","100",5.3,1.04119621178439,3352.911317556,1.71,81.1804878048781,10.4215602940851,0.722820271011556,0
"France",16.2,0.1,"Developing","100",8.5,0.507758822937957,3943.619418492,2.01,82.6707317073171,5.41184209736781,0.881310880052196,0
"Gabon",12.6,2.8,"Developing","93.2",541,4.69045751826282,444.119431652,3.91,65.211,2.89744994754094,3.87771261310144,0
"Georgia",13.5,0.1,"Developing","99.59999999999999",106,3.06881210379542,534.11078278,2.003,72.951,1.81094410144865,0.154330190462218,0
"Germany",17,0.1,"Developed","100",6.1,0.906797948515676,4204.334557102,1.47,81.090243902439,9.32745916671488,-0.00313578681535318,0
