Entity,Sub Entity,Year,Plastic waste from Sub Entity (tonnes)
CIB,TF,2019,109200
CIB,EQ,2019,38900
CIB,ERT,2019,1210000
CIB,PT,2019,300
CIB,Payments,2019,38900
PWCC,Risk,2019,13400
PWCC,Control,2019,40300
PWCC,UI,2019,19100
PWCC,Compliance,2019,3900
PWCC,Audit,2019,115000
HRIT,Backend,2019,12900
HRIT,Frontend,2019,40800
HRIT,L2,2019,21500
HRIT,L3,2019,35300
HRIT,Test,2019,11900
TREASURY,Audit,2019,16700
TREASURY,Control,2019,22800
TREASURY,UI,2019,38800
TREASURY,UX,2019,12800
TREASURY,Test,2019,17100
TREASURY,TF4,2019,32500
