Entity,Sub Entity,Year,Water waste from Sub Entity (litres)
CIB,TF,2019,1092000
CIB,EQ,2019,389000
CIB,ERT,2019,12100000
CIB,PT,2019,3000
CIB,Payments,2019,389000
PWCC,Risk,2019,134000
PWCC,Control,2019,403000
PWCC,UI,2019,191000
PWCC,Compliance,2019,39000
PWCC,Audit,2019,1150000
HRIT,Backend,2019,129000
HRIT,Frontend,2019,408000
HRIT,L2,2019,215000
HRIT,L3,2019,353000
HRIT,Test,2019,11900
TREASURY,Audit,2019,167000
TREASURY,Control,2019,228000
TREASURY,UI,2019,388000
TREASURY,UX,2019,128000
TREASURY,Test,2019,171000
TREASURY,TF4,2019,325000
